Lote,Semana,Temperatura,Peso_inicio,Peso_fin,Peces,Peso_total,Alimento_semanal,Alimento_acumulado,Precio_alimento,Coste_semanal,Coste_acumulado,Precio_venta,Ingreso_potencial,FeedRate_%,GrowthRate_%,DeathRate_%
3,109,13.435,44.062243703975675,44.8078405375164,6978.863650545305,312707.8095867036,17245.556782600328,244223.25776073596,1.1299800000000002,19.487134253202722,275.96739680447644,0.0,0.0,0.8,0.24,0.02098
3,110,13.996666666666668,44.8078405375164,45.56605394687021,6968.620939953722,317532.55768522073,17511.6373368554,261734.89509759136,1.1299800000000002,19.78779995789987,295.75519676237633,0.0,0.0,0.8,0.24,0.02098
3,111,13.95,45.56605394687021,46.33709742273086,6958.393262342509,322431.74650283885,17781.82323037236,279516.7183279637,1.1299800000000002,20.093104613856163,315.8483013762325,0.0,0.0,0.8,0.24,0.02098
3,112,14.14,46.33709742273086,47.12118806836311,6948.180595648121,327406.52458048635,18056.177804158975,297572.8961321227,1.1299800000000002,20.40311979514356,336.251421171376,0.0,0.0,0.8,0.24,0.02098
3,113,14.104285714285714,47.12118806836311,47.918546660732716,6937.9829178393975,332458.05817985366,18334.765376507235,315907.66150863,1.1299800000000002,20.71791818014565,356.9693393515217,0.0,0.0,0.8,0.24,0.02098
3,114,13.955,47.918546660732716,48.72939771267068,6927.800206917509,337587.53155680554,18617.651258071804,334525.3127667018,1.1299800000000002,21.037573568595985,378.00691292011766,0.0,0.0,0.8,0.24,0.02098
3,115,13.8175,48.72939771267068,49.38120459836464,6917.632440915916,341601.0229011534,16541.78904628347,351067.10181298526,1.1299800000000002,18.691890786519398,396.6988037066371,0.0,0.0,0.7,0.19,0.02098
4,116,14.205,30.0,30.507643350086674,7089.579500497254,216286.36290325585,11928.0,11928.0,1.14014982,13.599707052960001,13.599707052960001,0.0,0.0,0.8,0.24,0.02098
4,117,14.23,30.507643350086674,31.023876759202924,7079.174294911393,219623.43088224833,12112.03632258233,24040.03632258233,1.14014982,13.809536033025704,27.409243085985707,0.0,0.0,0.8,0.24,0.02098
4,118,14.245,31.023876759202924,31.548845583560187,7068.784360795904,223011.98626223518,12298.912129405906,36338.94845198824,1.14014982,14.02260245053796,41.43184553652367,0.0,0.0,0.8,0.24,0.02098
4,119,15.4,31.548845583560187,33.266000078580596,7058.903438125398,234821.48232737233,23416.258557534693,59755.20700952293,1.14014982,26.69804297944664,68.12988851597031,0.0,0.0,1.5,0.76,0.0199809
4,120,15.510000000000002,33.266000078580596,35.07661661651345,7049.0363272544655,247256.3447669809,24656.255644374094,84411.46265389702,1.14014982,28.11182543480711,96.24171395077741,0.0,0.0,1.5,0.76,0.0199809
4,121,16.3,35.07661661651345,36.98578219069027,7039.18300887663,260349.68956671882,25961.916200532996,110373.37885443002,1.14014982,29.60047408289278,125.8421880336702,0.0,0.0,1.5,0.76,0.0199809
4,122,17.673333333333336,36.98578219069027,39.736286538711276,7029.811710852932,279338.6124556403,30981.613058439543,141354.99191286956,1.14014982,35.323680551889495,161.16586858555968,0.0,0.0,1.7,1.03,0.0190295
4,123,17.419999999999998,39.736286538711276,42.69133635583924,7020.452888883137,299712.5156496333,33241.29488222119,174596.28679509077,1.14014982,37.90005637653141,199.0659249620911,0.0,0.0,1.7,1.03,0.0190295
4,124,20.065,42.69133635583924,46.990033845910126,7011.551365633155,329473.0359834393,39861.764581401236,214458.05137649202,1.14014982,45.448383712367,244.51430867445808,0.0,0.0,1.9,1.38,0.0181233
4,125,19.130000000000003,46.990033845910126,51.72157794347809,7002.661128993513,362188.6833950022,43819.913785797435,258277.96516228945,1.14014982,49.96126681529246,294.47557548975055,0.0,0.0,1.9,1.38,0.0181233
4,126,20.80666666666667,51.72157794347809,55.95408738129007,6993.78216465345,391330.6983667272,40565.13254024025,298843.0977025297,1.14014982,46.250328564031065,340.7259040537816,0.0,0.0,1.6,1.13,0.0181233
5,127,21.598000000000003,30.0,33.59500683393349,7091.426071579121,238236.50733703468,29820.0,29820.0,1.14014982,33.9992676324,33.9992676324,0.0,0.0,2.0,1.63,0.0172603
5,128,20.493333333333336,33.59500683393349,36.97777214144749,7082.434558488612,261892.65131050514,31685.455475825616,61505.45547582561,1.14014982,36.12616635738059,70.12543398978059,0.0,0.0,1.9,1.38,0.0181233
5,129,21.44666666666667,36.97777214144749,41.408950259852126,7073.881842016775,292922.0213401438,36664.97118347073,98170.42665929634,1.14014982,41.803560295139334,111.92899428491992,0.0,0.0,2.0,1.63,0.0172603
5,130,21.835,41.408950259852126,46.37113223219147,7065.339453767309,327627.79007596336,41009.08298762013,139179.50964691647,1.14014982,46.756498586700154,158.68549287162008,0.0,0.0,2.0,1.63,0.0172603
5,131,25.093333333333334,46.37113223219147,53.706066221025544,7057.63887984591,379038.021045089,59628.25779382534,198807.76744074182,1.14014982,67.98514739054356,226.67064026216366,0.0,0.0,2.6,2.12,0.0155774
5,132,25.935,53.706066221025544,60.849608590286,7049.9466988459135,428986.4972071528,61025.12138825933,259832.88882900117,1.14014982,69.57778116630202,296.2484214284657,0.0,0.0,2.3,1.8,0.0155774
5,133,25.4225,60.849608590286,67.34754899219024,7042.2629016198025,474279.14578272344,60058.109609001396,319890.99843800254,1.14014982,68.47524286024321,364.7236642887089,0.0,0.0,2.0,1.46,0.0155774
5,134,25.216,67.34754899219024,74.53938423491421,7034.58747903003,524353.8190335359,66399.0804095813,386290.07884758385,1.14014982,75.70489957714963,440.42856386585856,0.0,0.0,2.0,1.46,0.0155774
5,135,26.67,74.53938423491421,83.41422800475554,7027.303619377452,586177.1063653947,88091.44159763404,474381.5204452179,1.14014982,100.43744128108297,540.8660051469416,0.0,0.0,2.4,1.62,0.0147985
5,136,27.345,83.41422800475554,89.80389886058131,7020.390951850385,630458.4790017122,69755.07565748197,544136.5961026999,1.14014982,79.53123695496444,620.397242101906,0.0,0.0,1.7,1.06,0.0140586
5,137,26.4,89.80389886058131,99.32522366096363,7013.121791782089,696579.890530334,97090.60576626369,641227.2018689635,1.14014982,110.69783668809652,731.0950787900026,0.0,0.0,2.2,1.45,0.0147985
5,138,27.39333333333333,99.32522366096363,106.93370367757007,7006.223074735091,749201.382172676,82893.00697310975,724120.2088420733,1.14014982,94.51044697964983,825.6055257696524,0.0,0.0,1.7,1.06,0.0140586
5,139,27.41142857142857,106.93370367757007,113.93418556266391,6999.331143866676,797463.0933598386,83910.55480333972,808030.7636454131,1.14014982,95.67060395512792,921.2761297247804,0.0,0.0,1.6,0.91,0.0140586
5,140,27.326666666666668,113.93418556266391,121.39295837884993,6992.445992501367,848833.7053340744,89315.86645630191,897346.630101715,1.14014982,101.83346906329668,1023.109598788077,0.0,0.0,1.6,0.91,0.0140586
5,141,26.0625,121.39295837884993,132.42156573899592,6985.205767628276,924991.8847584012,124778.55468410895,1022125.1847858239,1.14014982,142.26624666294697,1165.375845451024,0.0,0.0,2.1,1.25,0.0147985
5,142,25.37,132.42156573899592,143.1588315957364,6977.592532097019,998903.994246145,116548.97747955857,1138674.1622653825,1.14014982,132.88329569450275,1298.2591411455267,0.0,0.0,1.8,1.12,0.0155774
5,143,25.338,143.1588315957364,154.7667175620862,6969.987594296307,1078722.1014177012,125861.90327501428,1264536.0655403968,1.14014982,143.50142636386494,1441.7605675093916,0.0,0.0,1.8,1.12,0.0155774
5,144,24.746666666666663,154.7667175620862,163.64445592768547,6962.37193491603,1139353.5672555205,105714.76593893471,1370250.8314793315,1.14014982,120.53067135661853,1562.2912388660102,0.0,0.0,1.4,0.8,0.0156164
5,145,20.676666666666662,163.64445592768547,170.5237809758449,6953.964205534409,1185816.2690984148,95705.69964946373,1465956.5311287951,1.14014982,109.11883622831013,1671.4100750943203,0.0,0.0,1.2,0.59,0.0172603
5,146,19.645,170.5237809758449,177.6923007471005,6945.566629289394,1234173.714350716,99608.56660426685,1565565.097733062,1.14014982,113.56868928431285,1784.978764378633,0.0,0.0,1.2,0.59,0.0172603
5,147,19.918333333333333,177.6923007471005,185.16217247886746,6937.179193920102,1284503.1704214446,103670.59200546014,1669235.689738522,1.14014982,118.20000681431883,1903.178771192952,0.0,0.0,1.2,0.59,0.0172603
