episode,timesteps,reward,num_actions,actions_plus_1
206,3804,10.062282,3,"[61, 61, 8]"
207,3816,8.157371,3,"[62, 76, 18]"
208,3836,-1.941616,5,"[34, 23, 66, 43, 3]"
209,3852,8.564172,4,"[66, 68, 30, 18]"
210,3872,12.544403,5,"[7, 10, 73, 67, 12]"
211,3892,9.614722,5,"[4, 73, 74, 22, 22]"
212,3912,0.693198,5,"[3, 59, 10, 40, 5]"
213,3924,1.297827,3,"[74, 39, 17]"
214,3936,4.423357,3,"[67, 27, 23]"
215,3956,6.836864,5,"[17, 74, 23, 66, 2]"
216,3968,2.661903,3,"[75, 27, 15]"
217,3984,8.073604,4,"[72, 55, 18, 11]"
218,3996,11.715438,3,"[64, 61, 5]"
219,4016,15.220088,5,"[26, 58, 58, 62, 4]"
220,4028,9.927032,3,"[69, 70, 4]"
221,4040,7.237907,3,"[38, 64, 2]"
222,4052,9.728971,3,"[62, 61, 7]"
223,4072,19.110669,5,"[74, 3, 57, 72, 2]"
224,4084,3.36536,3,"[75, 9, 20]"
225,4104,6.779217,5,"[3, 15, 16, 67, 3]"
226,4124,15.839669,5,"[68, 52, 57, 15, 16]"
227,4144,13.395059,5,"[23, 76, 63, 15, 18]"
228,4156,3.405462,3,"[77, 26, 14]"
229,4168,3.591153,3,"[63, 27, 14]"
230,4180,11.222288,3,"[75, 75, 19]"
231,4192,9.538792,3,"[61, 57, 12]"
232,4220,2.010063,7,"[4, 69, 24, 4, 3, 4, 22]"
233,4232,9.547362,3,"[77, 54, 12]"
234,4256,1.863894,6,"[77, 27, 10, 11, 27, 4]"
235,4272,8.240377,4,"[67, 74, 29, 12]"
236,4284,3.391595,3,"[75, 27, 2]"
237,4300,3.321997,4,"[61, 4, 37, 2]"
238,4324,14.703095,6,"[1, 66, 11, 20, 74, 23]"
239,4336,8.891204,3,"[59, 65, 19]"
240,4352,8.74523,4,"[59, 22, 61, 1]"
241,4372,14.436913,5,"[4, 78, 64, 54, 8]"
242,4400,4.818384,7,"[3, 58, 7, 43, 71, 14, 12]"
243,4412,3.766451,3,"[68, 43, 6]"
244,4436,8.378498,6,"[62, 62, 1, 1, 23, 7]"
245,4456,4.936175,5,"[4, 36, 61, 14, 15]"
246,4468,9.788788,3,"[69, 61, 13]"
247,4480,9.577413,3,"[73, 54, 3]"
248,4496,14.00659,4,"[55, 67, 71, 2]"
249,4508,11.228736,3,"[64, 60, 19]"
250,4520,3.146823,3,"[74, 6, 24]"
251,4536,14.558189,4,"[63, 17, 75, 1]"
252,4556,6.616173,5,"[74, 14, 61, 24, 22]"
253,4572,8.718531,4,"[59, 60, 25, 12]"
254,4592,0.614452,5,"[75, 34, 13, 25, 9]"
255,4608,13.497635,4,"[32, 65, 61, 11]"
256,4628,12.304538,5,"[13, 73, 70, 22, 4]"
257,4644,10.439361,4,"[3, 75, 68, 10]"
258,4656,4.015898,3,"[77, 2, 25]"
259,4676,7.259666,5,"[63, 3, 70, 14, 19]"
260,4688,5.576095,3,"[64, 32, 8]"
261,4704,8.97125,4,"[59, 4, 61, 6]"
262,4716,3.666392,3,"[67, 45, 5]"
263,4732,6.192571,4,"[76, 64, 40, 2]"
264,4748,2.280652,4,"[7, 59, 28, 10]"
265,4764,3.453116,4,"[41, 73, 16, 13]"
266,4776,3.487528,3,"[76, 25, 16]"
267,4796,11.1054,5,"[59, 27, 71, 49, 2]"
268,4812,13.24541,4,"[58, 60, 65, 12]"
269,4824,3.496207,3,"[62, 31, 11]"
270,4844,8.863773,5,"[54, 64, 10, 27, 1]"
271,4864,8.77802,5,"[74, 11, 68, 54, 1]"
272,4876,9.269222,3,"[71, 67, 5]"
273,4896,9.568491,5,"[18, 71, 65, 36, 18]"
274,4908,9.579438,3,"[73, 50, 7]"
275,4928,13.713545,5,"[32, 67, 62, 25, 9]"
276,4952,9.776085,6,"[2, 67, 11, 17, 69, 3]"
277,4964,13.212891,3,"[62, 33, 74]"
278,4976,12.162116,3,"[69, 77, 10]"
279,5000,6.935319,6,"[61, 70, 4, 20, 25, 2]"
280,5020,9.483197,5,"[67, 75, 14, 19, 7]"
281,5032,9.014334,3,"[71, 73, 12]"
282,5044,11.150298,3,"[66, 50, 1]"
283,5056,2.717629,3,"[71, 27, 19]"
284,5084,-0.502626,7,"[4, 60, 11, 11, 5, 47, 5]"
285,5100,5.433418,4,"[61, 71, 45, 5]"
286,5112,4.467501,3,"[67, 37, 13]"
287,5120,9.755093,2,"[61, 69]"
288,5136,8.295699,4,"[69, 65, 20, 15]"
289,5148,11.150298,3,"[66, 50, 1]"
290,5160,13.806901,3,"[58, 67, 57]"
291,5184,9.209467,6,"[54, 2, 27, 69, 6, 24]"
292,5204,11.404522,5,"[17, 13, 70, 67, 41]"
293,5224,12.119545,5,"[62, 32, 76, 33, 5]"
294,5240,3.963276,4,"[64, 16, 30, 7]"
295,5256,8.417019,4,"[62, 61, 21, 12]"
296,5272,8.192792,4,"[7, 60, 64, 12]"
297,5288,16.809175,4,"[32, 78, 40, 6]"
298,5308,9.196604,5,"[24, 61, 8, 74, 2]"
299,5328,11.588946,5,"[71, 15, 67, 12, 17]"
300,5352,-2.509107,6,"[36, 37, 70, 7, 29, 3]"
301,5364,9.985326,3,"[57, 62, 11]"
302,5380,10.00135,4,"[66, 4, 65, 21]"
303,5396,13.693733,4,"[62, 71, 61, 14]"
304,5416,4.634796,5,"[68, 22, 12, 25, 3]"
305,5428,11.549848,3,"[64, 60, 6]"
306,5440,9.885286,3,"[76, 63, 4]"
307,5452,7.888202,3,"[32, 73, 12]"
308,5464,5.22552,3,"[68, 12, 24]"
309,5488,25.105629,6,"[63, 22, 77, 4, 25, 4]"
310,5500,4.162143,3,"[66, 41, 10]"
311,5512,11.397555,3,"[68, 61, 1]"
312,5532,8.433438,5,"[54, 65, 22, 8, 20]"
313,5548,19.794845,4,"[65, 74, 66, 3]"
314,5564,14.015874,4,"[61, 66, 57, 11]"
315,5576,8.8158,3,"[55, 71, 4]"
316,5596,14.833906,5,"[64, 21, 75, 17, 31]"
317,5620,14.672244,6,"[25, 16, 69, 16, 77, 5]"
318,5640,10.96238,5,"[26, 16, 66, 75, 25]"
319,5652,11.394942,3,"[67, 62, 1]"
320,5672,12.072234,5,"[2, 55, 32, 71, 22]"
321,5692,10.963171,5,"[64, 3, 19, 56, 1]"
322,5704,14.212729,3,"[61, 65, 56]"
323,5720,9.011536,4,"[1, 2, 69, 71]"
324,5736,6.582374,4,"[71, 69, 24, 18]"
325,5748,3.668485,3,"[65, 45, 7]"
326,5764,13.173108,4,"[54, 58, 61, 9]"
327,5784,8.708804,5,"[65, 64, 12, 4, 24]"
328,5800,9.777898,4,"[1, 76, 60, 6]"
329,5824,2.777359,6,"[71, 9, 7, 16, 12, 15]"
330,5844,11.419168,5,"[75, 4, 72, 8, 23]"
331,5868,8.80385,6,"[69, 16, 61, 8, 14, 14]"
332,5892,12.713328,6,"[67, 4, 78, 6, 10, 17]"
333,5908,7.89741,4,"[9, 22, 74, 25]"
334,5924,5.593445,4,"[64, 12, 15, 13]"
335,5940,10.246659,4,"[64, 58, 33, 1]"
336,5956,6.584781,4,"[63, 75, 29, 2]"
337,5976,4.7224,5,"[9, 67, 66, 36, 4]"
338,5992,-2.310097,4,"[51, 54, 41, 10]"
339,6012,24.265125,5,"[7, 4, 74, 77, 20]"
340,6028,4.022255,4,"[69, 1, 33, 1]"
341,6048,24.555563,5,"[33, 76, 62, 12, 25]"
342,6068,14.694457,5,"[23, 14, 64, 67, 1]"
343,6084,7.579053,4,"[76, 64, 20, 22]"
344,6096,3.719762,3,"[75, 21, 8]"
345,6112,0.187026,4,"[9, 78, 35, 8]"
346,6128,14.830805,4,"[62, 11, 64, 58]"
347,6140,9.994131,3,"[76, 50, 4]"
348,6152,3.083208,3,"[62, 18, 24]"
349,6172,1.137527,5,"[69, 15, 28, 31, 13]"
350,6184,8.202445,3,"[55, 60, 2]"
351,6204,6.900511,5,"[37, 67, 9, 8, 22]"
352,6220,15.062424,4,"[76, 61, 56, 2]"
353,6232,7.960094,3,"[53, 59, 18]"
354,6248,8.106495,4,"[58, 23, 58, 4]"
355,6268,2.812291,5,"[59, 11, 4, 13, 17]"
356,6280,7.77087,3,"[73, 60, 23]"
357,6292,11.715438,3,"[64, 61, 5]"
358,6308,8.022523,4,"[53, 64, 42, 10]"
359,6324,29.364973,4,"[67, 22, 76, 4]"
360,6344,26.985627,5,"[63, 4, 23, 76, 16]"
361,6356,2.670021,3,"[77, 34, 6]"
362,6372,25.248518,4,"[32, 77, 64, 9]"
363,6388,1.43298,4,"[55, 14, 18, 17]"
364,6408,7.629969,5,"[60, 57, 11, 22, 6]"
365,6424,19.078366,4,"[74, 60, 73, 1]"
366,6444,2.378358,5,"[62, 15, 5, 12, 23]"
367,6456,11.246599,3,"[67, 60, 16]"
368,6476,3.401006,5,"[46, 61, 20, 18, 11]"
369,6488,10.490646,3,"[55, 64, 24]"
370,6500,8.420997,3,"[57, 55, 18]"
371,6516,7.173179,4,"[60, 44, 62, 3]"
372,6532,7.205811,4,"[26, 78, 24, 15]"
373,6552,0.83968,5,"[5, 74, 24, 24, 3]"
374,6576,3.641797,6,"[32, 13, 64, 7, 33, 20]"
375,6592,2.73654,4,"[59, 4, 37, 4]"
376,6612,14.229503,5,"[59, 66, 4, 64, 2]"
377,6628,7.863989,4,"[69, 73, 20, 20]"
378,6640,3.477603,3,"[63, 24, 17]"
379,6652,11.803238,3,"[64, 58, 8]"
380,6668,8.105268,4,"[11, 65, 46, 8]"
381,6684,8.408964,4,"[67, 65, 31, 6]"
382,6704,22.659335,5,"[32, 54, 76, 24, 9]"
383,6728,4.587659,6,"[7, 4, 51, 73, 55, 5]"
384,6748,14.703236,5,"[26, 75, 71, 25, 11]"
385,6760,2.392971,3,"[77, 16, 37]"
386,6772,7.908646,3,"[33, 75, 9]"
387,6784,7.583228,3,"[33, 73, 24]"
388,6796,3.286119,3,"[74, 10, 20]"
389,6816,11.248545,5,"[13, 65, 77, 18, 22]"
390,6832,2.317438,4,"[4, 73, 8, 19]"
391,6848,16.572611,4,"[67, 17, 76, 9]"
392,6860,5.252639,3,"[67, 14, 23]"
393,6872,19.487082,3,"[33, 76, 8]"
394,6888,2.480481,4,"[58, 20, 24, 2]"
395,6904,9.125469,4,"[63, 17, 59, 4]"
396,6916,19.32834,3,"[32, 77, 21]"
397,6936,24.5252,5,"[1, 32, 76, 76, 10]"
398,6952,8.110205,4,"[7, 20, 77, 13]"
